RegionName,Date,State,Metro,County,City,SizeRank,Zri,YoY,ZriRecordCnt
99338,9/30/18,WA,Kennewick-Richland,Benton,Kennewick,7456,1709,-0.013848817,4195
98321,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Buckley,7500,1892,0.027144408,4502
98660,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Vancouver,7588,1593,0.006953224,3764
99218,9/30/18,WA,Spokane-Spokane Valley,Spokane,Fairwood,7594,1462,0.007580979,3905
98363,9/30/18,WA,Port Angeles,Clallam,Port Angeles,7668,1439,0.014809591,5572
99114,9/30/18,WA,Spokane-Spokane Valley,Stevens,Colville,7753,1248,0.01216545,5334
98065,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Snoqualmie,7771,2513,-0.060560748,5573
98070,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Vashon,7787,2387,-0.0452,4939
98390,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Sumner,7830,1730,0.010514019,3273
98360,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Orting,7861,1790,0.014164306,4312
98528,9/30/18,WA,Shelton,Mason,Belfair,7866,1494,0.021887825,3500
98674,9/30/18,WA,Longview,Cowlitz,Woodland,7896,1680,-0.028340081,3401
99006,9/30/18,WA,Spokane-Spokane Valley,Spokane,Deer Park,8020,1393,-0.005710207,3491
98579,9/30/18,WA,Olympia-Tumwater,Thurston,Rochester,8024,1590,0.041257367,3225
99350,9/30/18,WA,Kennewick-Richland,Benton,Prosser,8176,1324,0.00531511,2167
99019,9/30/18,WA,Spokane-Spokane Valley,Spokane,Liberty Lake,8279,1648,-0.026004728,3641
98823,9/30/18,WA,Moses Lake,Grant,Ephrata,8282,973,0.008290155,2880
98250,9/30/18,WA,,San Juan,Friday Harbor,8325,1822,-0.065641026,3609
98930,9/30/18,WA,Yakima,Yakima,Grandview,8351,1098,0.071219512,3248
98550,9/30/18,WA,Aberdeen,Grays Harbor,Hoquiam,8370,949,0.054444444,4373
98848,9/30/18,WA,Moses Lake,Grant,Quincy,8462,1245,0.076989619,3371
98148,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Burien,8582,2040,-0.019702066,2367
98019,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Duvall,8590,2440,-0.029435163,3831
98346,9/30/18,WA,Bremerton-Silverdale,Kitsap,Kingston,8614,1790,-0.031385281,3552
98077,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Woodinville,8639,2845,-0.090473146,4516
98948,9/30/18,WA,Yakima,Yakima,Toppenish,8648,921,-0.003246753,2601
98951,9/30/18,WA,Yakima,Yakima,Wapato,8770,924,-0.018065887,2333
98611,9/30/18,WA,Longview,Cowlitz,Castle Rock,8798,1349,-0.05,2971
98424,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Fife,8836,1849,0.024376731,2598
99324,9/30/18,WA,Walla Walla,Walla Walla,College Place,8859,1294,0.058919804,2352
98541,9/30/18,WA,Aberdeen,Grays Harbor,Elma,8875,1067,-0.014773777,2817
98354,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Milton,8876,1843,0.029608939,2077
98403,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,8965,1828,0.035694051,2844
98569,9/30/18,WA,Aberdeen,Grays Harbor,Ocean Shores,9061,988,-0.123336291,5541
98446,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Summit,9089,1708,0.005889282,3564
98252,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Granite Falls,9100,1698,0.006520451,2875
98328,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Eatonville,9105,1714,0.035024155,3479
98402,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,9212,1543,0.016469038,1511
98327,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Dupont,9244,1805,0.032018296,3309
98418,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,9271,1467,0.026592022,3738
99156,9/30/18,WA,Spokane-Spokane Valley,Pend Oreille,Newport,9287,1358,0.005181347,2842
99320,9/30/18,WA,Kennewick-Richland,Benton,Benton City,9349,1335,0.033281734,1336
99204,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane,9352,1143,0.019625335,1941
