IncomeId,ZipCode,City,State,Population,AvgIncome,NationalRank
434,98409,Tacoma,WA,21988,32132,20795
435,99328,Dayton,WA,3806,32130,20798
436,98550,Hoquiam,WA,11733,32104,20838
437,98122,Seattle,WA,28790,32085,20853
438,98542,Ethel,WA,530,32083,20860
439,99121,Danville,WA,137,32000,20977
440,98361,Packwood,WA,1209,31964,21028
441,98424,Tacoma,WA,4836,31938,21062
442,98843,Orondo,WA,1556,31932,21068
443,98935,Mabton,WA,3885,31915,21093
444,98336,Glenoma,WA,1198,31875,21134
445,99115,Coulee City,WA,1133,31827,21221
446,98577,Raymond,WA,6457,31826,21224
447,99004,Cheney,WA,14407,31465,21678
448,98849,Riverside,WA,950,31458,21691
449,99103,Almira,WA,577,31406,21756
450,99033,Tekoa,WA,931,31389,21780
451,99109,Chewelah,WA,4382,31389,21783
452,99180,Usk,WA,765,31375,21796
453,98552,Humptulips,WA,610,31364,21816
454,99133,Grand Coulee,WA,1643,31118,22166
455,98377,Randle,WA,2043,31116,22171
456,99330,Eltopia,WA,807,31000,22313
457,98644,Seaview,WA,516,30968,22361
458,98305,Beaver,WA,407,30938,22409
459,98620,Goldendale,WA,6936,30934,22411
460,99101,Addy,WA,1295,30885,22452
461,98621,Grays River,WA,245,30694,22706
462,98902,Yakima,WA,42634,30694,22707
463,99166,Republic,WA,2955,30689,22716
464,98944,Sunnyside,WA,20108,30689,22717
465,99324,College Place,WA,8455,30629,22777
466,98405,Tacoma,WA,22355,30585,22875
467,98660,Vancouver,WA,10019,30585,22877
468,99117,Creston,WA,548,30526,22967
469,98856,Twisp,WA,2182,30504,22988
470,98841,Omak,WA,8927,30492,23005
471,99013,Ford,WA,1016,30489,23008
472,98326,Clallam Bay,WA,550,30476,23027
473,99176,Thornton,WA,214,30417,23085
474,98951,Wapato,WA,13570,30417,23107
475,99032,Sprague,WA,710,30385,23152
476,98586,South Bend,WA,2257,30357,23183
477,99151,Marcus,WA,115,30357,23185
478,98840,Okanogan,WA,4808,30307,23264
479,98926,Ellensburg,WA,24800,30198,23394
480,98832,Marlin,WA,318,30000,23611
481,98571,Pacific Beach,WA,478,29722,23900
482,98624,Ilwaco,WA,1337,29716,23908
483,99128,Farmington,WA,374,29688,23945
484,99139,Ione,WA,1187,29688,23946
485,98526,Amanda Park,WA,430,29500,24148
486,98539,Doty,WA,184,29375,24266
487,98355,Mineral,WA,634,29125,24541
488,98225,Bellingham,WA,42414,29056,24618
489,99167,Rice,WA,580,29048,24625
490,98614,Chinook,WA,556,28958,24697
491,99118,Curlew,WA,1165,28864,24801
492,98605,Bingen,WA,1186,28846,24819
493,98353,Manchester,WA,122,28750,24871
494,99357,Royal City,WA,3746,28725,24972
495,98836,Monitor,WA,324,28713,24976
496,98572,Pe Ell,WA,865,28472,25209
497,98628,Klickitat,WA,298,28375,25297
498,98948,Toppenish,WA,13262,28218,25438
499,98439,Lakewood,WA,6794,28172,25490
500,98320,Brinnon,WA,1197,28167,25495
501,98855,Tonasket,WA,5469,27994,25696
502,98337,Bremerton,WA,8332,27988,25699
503,98901,Yakima,WA,28724,27878,25797
504,99040,Wellpinit,WA,930,27798,25881
505,99001,Airway Heights,WA,1328,27571,26063
506,98547,Grayland,WA,1642,27464,26178
507,98267,Marblemount,WA,582,27188,26430
508,99129,Fruitland,WA,751,27115,26515
509,99207,Spokane,WA,38565,27095,26530
510,98134,Seattle,WA,636,27083,26548
511,98101,Seattle,WA,9010,26995,26650
512,98813,Bridgeport,WA,2348,26833,26805
513,99155,Nespelem,WA,1281,26833,26806
514,98640,Ocean Park,WA,3811,26721,26901
515,98812,Brewster,WA,5327,26625,26998
516,99149,Malden,WA,218,26528,27077
517,98844,Oroville,WA,4501,26476,27135
518,99119,Cusick,WA,1139,26331,27241
519,98587,Taholah,WA,900,26172,27408
520,98602,Appleton,WA,195,25917,27588
521,99363,Wallula,WA,235,25893,27603
522,98932,Granger,WA,4182,25833,27649
523,98851,Soap Lake,WA,3759,25393,27966
524,98860,Wilson Creek,WA,257,25250,28067
525,99202,Spokane,WA,19801,25053,28181
526,99136,Hay,WA,48,25000,28212
527,99173,Springdale,WA,1253,24826,28318
528,99140,Keller,WA,439,24464,28532
529,99401,Anatone,WA,221,24271,28648
530,98581,Ryderwood,WA,422,24167,28702
531,98357,Neah Bay,WA,1356,24091,28763
532,98533,Cinebar,WA,517,24038,28789
533,99346,Plymouth,WA,268,24018,28800
534,99153,Metaline Falls,WA,440,23889,28868
535,99138,Inchelium,WA,1173,23625,29024
536,98829,Malott,WA,562,23250,29233
537,99152,Metaline,WA,199,23077,29320
538,98934,Kittitas,WA,479,23000,29356
539,99157,Northport,WA,683,22841,29422
540,99321,Beverly,WA,620,22440,29595
541,99163,Pullman,WA,26196,22418,29605
542,98817,Chelan Falls,WA,348,22381,29624
543,98827,Loomis,WA,437,22381,29625
544,99137,Hunters,WA,306,22143,29735
545,98350,La Push,WA,371,21750,29929
546,98819,Conconully,WA,256,21563,30009
547,98616,Cougar,WA,96,21250,30153
548,99204,Spokane,WA,9863,21158,30174
549,98562,Moclips,WA,192,19375,30700
550,99150,Malo,WA,275,18958,30779
551,99160,Orient,WA,115,18542,30868
552,98297,Waldron,WA,104,18452,30880
553,98859,Wauconda,WA,226,17083,31135
554,98821,Dryden,WA,243,16917,31157
555,99201,Spokane,WA,11265,16257,31237
556,98235,Clearlake,WA,95,16250,31257
557,98104,Seattle,WA,13095,16205,31263
558,98402,Tacoma,WA,4935,15847,31304
559,99359,Starbuck,WA,72,13393,31550
560,98174,Seattle,WA,180,0,31889
561,98154,Seattle,WA,1,0,31893
562,98164,Seattle,WA,1,0,31894
